                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36276,                 5.4261,                 1.0061,                0.00264,                0.62855,                0.01235,                0.01196,                0.21057,                 4.0794,                0.86356,              0.0033325,              0.0033325,              0.0033325
                      2,                0.36705,                 3.9846,                0.97454,                0.52202,                0.34454,                0.32271,                0.31758,                0.21712,                  2.485,                0.83387,              0.0065338,              0.0065338,              0.0065338
                      3,                0.36357,                 2.9095,                0.96466,                0.54404,                0.65865,                0.70481,                0.69228,                0.21304,                 1.5844,                0.83706,              0.0096032,              0.0096032,              0.0096032
                      4,                0.33959,                 2.2279,                0.95306,                0.71234,                0.78997,                0.87225,                0.85836,                0.17895,                0.95079,                0.81835,               0.009406,               0.009406,               0.009406
                      5,                0.30256,                 1.6032,                0.93755,                0.79496,                0.87518,                0.93247,                0.91782,                0.16257,                 0.6224,                0.81074,               0.009208,               0.009208,               0.009208
                      6,                0.28615,                 1.2854,                0.93025,                0.83491,                0.91431,                0.95658,                  0.941,                0.15862,                 0.4731,                0.80761,                0.00901,                0.00901,                0.00901
                      7,                0.27578,                 1.1001,                0.92668,                0.87169,                 0.9276,                0.96514,                0.94983,                0.15878,                0.37679,                 0.8064,               0.008812,               0.008812,               0.008812
                      8,                0.26765,                0.99071,                0.92268,                0.89948,                0.94614,                0.97216,                0.95662,                0.14937,                0.31129,                0.79968,               0.008614,               0.008614,               0.008614
                      9,                0.26042,                0.90387,                0.92016,                0.91592,                0.95081,                0.97891,                0.96341,                0.14624,                0.27213,                0.79803,               0.008416,               0.008416,               0.008416
                     10,                 0.2564,                0.84444,                0.91824,                0.91632,                0.96187,                0.98223,                0.96684,                0.14593,                0.24471,                0.79754,               0.008218,               0.008218,               0.008218
                     11,                0.25327,                0.80442,                0.91698,                0.91934,                0.96791,                0.98444,                0.96956,                0.14472,                0.22707,                 0.7968,                0.00802,                0.00802,                0.00802
                     12,                 0.2495,                0.76066,                0.91589,                0.92009,                0.97337,                0.98531,                0.97054,                0.14243,                0.21371,                 0.7951,               0.007822,               0.007822,               0.007822
