filename,path,img_prod_nm,class
0001.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0001.jpg,크라운 땅콩샌드,1
0003.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0003.jpg,오리온 오징어땅콩,2
0004.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0004.jpg,해태 홈런볼 초코맛,3
0005.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0005.jpg,도리토스 나쵸치즈맛,4
0007.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0007.jpg,프링글스 오리지날,5
0009.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0009.jpg,농심 포스틱,6
0010.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0010.jpg,농심 새우깡,7
0011.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0011.jpg,오리온 포카칩 어니언맛,8
0013.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0013.jpg,오리온 고래밥 볶음양념맛,9
0014.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0014.jpg,롯데 빼빼로 오리지널,10
0015.jpg,/home/mmc/disk2/duck/cap/cnn/snack_2/RMBG_224/val/0015.jpg,오리온 예감 오리지널,0
